,SE_NUMBER,TIME,BID_PRICE,PRICE,DATE,TITLE,CONTENT
124,1.0,10:25,47.8,48.4,04/05/2020,,
125,1.0,08:25,47.85,48.45,05/05/2020,,
126,1.0,09:00,47.9,48.5,06/05/2020,,
127,1.0,08:50,47.8,48.25,07/05/2020,,
128,1.0,08:25,48.0,48.45,08/05/2020,,
129,1.0,08:25,47.9,48.3,09/05/2020,,
130,,,,,10/05/2020,,
131,1.0,08:45,47.85,48.3,11/05/2020,,
132,1.0,08:35,47.75,48.15,12/05/2020,,
133,1.0,16:00,48.0,48.4,13/05/2020,,
134,1.0,16:00,48.17,48.55,14/05/2020,,
135,1.0,09:30,48.65,49.0,01/06/2020,Giá vàng ngày 1/6/2020: đồng loạt tăng lên mốc 49 triệu,"Mở màn phiên giao dịch ngày đầu tiên của tháng 6/2020, giá vàng đồng loạt tăng từ 110.000 đến 190.000 đồng/lượng. Mức chênh lệch mua vào - bán ra từ 180.000 đến 370.000/lượng.Giá vàng trong nướcGiá vàng tại Công ty Vàng Bạc Đá Quý Sài Gòn niêm yết mua vào - bán ra lần lượt là 48,700,000 - 49,070,000, tăng 180.000/lượng chiều mua vào và 150.000/lượng chiều bán ra. Mức chênh lệch là 370.000/lượngGiá vàng tại Bảo Tín Minh Châu mua vào ở mức 48,720,000/lượng (tăng 150.000/lượng so với hôm qua), bán ra ở mức 48,900,000/lượng (tăng 110.000/lượng). Mua vào bán ra chênh lệch 180.000/lượngTại PNJ, giá vàng đang giao dịch ở mức 48,650,000/lượng mua vào và 48,950,000/lượng bán ra, tăng 150.000/lượng chiều mua và 130.000/lượng chiều bán. Mức chênh là 300.000/lượngGiá vàng mua vào - bán ra niêm yết tại Phú Quý lần lượt là 48,740,000 và 48,930,000 đồng/lượng, tăng 190.000/lượng chiều mua và 130.000/lượng chiều bán. Mức chênh lệch là 190.000/lượngTại DOJI, giá vàng mua vào ở mức 48,720,000/lượng (tăng 170.000/lượng), bán ra ở mức 48,920,000/lượng (tăng 120.000/lượng), mức chênh là 200.000/lượng mua vào - bán raGiá vàng thế giới[caption id=""attachment_5846"" align=""aligncenter"" width=""500""] Giá vàng ngày 1/6/2020: đồng loạt tăng lên mốc 49 triệu[/caption]Giá vàng thế giới giao ngay tăng 0,6% lên 1.736,31 USD/oz, trong khi giá vàng tương lai ổn định ở mức 1.751,30 USD/oz.Một số nguyên nhân ảnh hưởng đến giá vàng thế giớiLàn sóng biểu tình ở Mỹ đang lan rộngDiễn biến căng thẳng giữa Mỹ và Trung Quốc liên quan đến vấn đề Hong Kong"
136,1.0,09:10,48.68,49.03,02/06/2020,Giá vàng ngày 2/6/2020: đảo chiều giảm,"Trái ngược với đà tăng ngày hôm qua, hôm nay 2/6/2020 giá vàng có sự đảo chiều nhẹ giảm từ 10.000 đến 30.000/lượng. Giá chênh lệch mua bán từ 150.000/lượng đến 370.000/lượng.
Giá vàng trong nước


Giá vàng tại SJC không đổi so với chốt phiên ngày hôm qua ở mức 48.650.000/lượng mua vào và 49.020.000/lượng bán ra. Mức chênh duy trì ở 370.000/lượng
Giá vàng SJC tại Bảo Tín Minh Châu mua vào ở mức 48.680.000/lượng (không đổi so với hôm qua) và bán ra ở mức 48.850.000/lượng (giảm 10.000/lượng). Do đó mức chênh giảm nhẹ còn 170.000/lượng
Tại PNJ, giá vàng giảm 30.000/lượng cả 2 chiều, hiện giao dịch ở mức 48.670.000/lượng mua vào và 49.000.000/lượng bán ra. Mức chênh lệch duy trì ở 330.000/lượng
Tập đoàn Phú Quý niêm yết giá mua vào - bán ra lần lượt là 48.650.000 và 48.850.000 đồng/lượng, giảm 30.000/lượng cả 2 chiều. Mức chênh lệch mua bán là 200.000/lượng
Giá vàng DOJI mua vào ở mức 48.680.000/lượng (không đổi so với hôm qua), trong khi giá bán ra giảm 20.000/lượng xuống còn 48.830.000/lượng. Giá chênh lệch mua vào bán ra là 150.000/lượng

Giá vàng thế giới

Giá vàng giao ngay đang ở mức 1.738,3 USD/oz, tăng 9,6 USD/ounce, tương đương 0,56% giá trị so với chốt phiên trước.
Giá vàng thế giới tăng trong bối cảnh đồng USD đang suy yếu vì căng thẳng gia tăng giữa Mỹ và TQ, cũng như các cuộc biểu tình ở Mỹ đã thúc đẩy nhu cầu đối với vàng."
137,1.0,11:00,48.52,48.87,03/06/2020,Giá vàng ngày 3/6/2020: tiếp đà giảm giá,"Giá vàng ngày 3/6/2020 tiếp tục giảm so với hôm qua từ 30.000 đến 130.000 đồng/lượng. Mức chênh lệch mua vào - bán ra cao nhất là 370.000/lượng.
Giá vàng trong nước


Giá vàng tại Công ty Vàng Bạc Đá Quý Sài Gòn giao dịch ở mức 48.520.000/lượng mua vào và 48.890.000/lượng bán ra, giảm 100.000/lượng cả 2 chiều. Giá chênh lệch mua vào - bán ra vẫn duy trì ở mức 370.000/lượng
Tại hệ thống Bảo Tín Minh Châu, giá mua vào - bán ra lần lượt là 48.500.000/lượng và 48.700.000/lượng, giảm 50.000/lượng mua vào và 30.000/lượng bán ra. Mức chênh lệch mua vào - bán ra là 200.000/lượng
Giá vàng niêm yết tại PNJ mua vào ở mức 48.600.000/lượng và 48.850.000/lượng bán ra, giảm 100.000/lượng mua vào và 120.000/lượng bán ra. Mức chênh lệch là 250.000/lượng
Giá vàng tại Phú Quý mua vào niêm yết ở mức 48.520.000/lượng (giảm 130.000/lượng so với hôm qua), bán ra ở mức 48.720.000/lượng (giảm 130.000/lượng so với hôm qua). Mức chênh mua vào bán ra là 200.000/lượng
Giá vàng mua vào tại DoJI giảm 30.000/lượng so với hôm qua về mốc 48.550.000/lượng, trong khi đó giá bán ra giảm 130.000/lượng, hiện giao dịch ở mức 48.750.000/lượng. Giá chênh lệch mua bán là 200.000/lượng

Giá vàng thế giới


Trên thị trường thế giới, giá vàng giao ngay giảm 0,7% xuống 1.727,23 USD/oz. Giá vàng tương lai giảm 0,9% xuống 1.734 USD/oz.

Giá vàng giảm do chứng khoán tăng khi tâm lý các nhà đầu tư ""lạc quan"" trong bối cảnh căng thẳng Mỹ - Trung và biểu tình tại Mỹ."
138,1.0,08:25,48.38,48.73,04/06/2020,"Giá vàng ngày 4/6/2020: trong nước và thế giới cùng ""đổ đèo""","Giá vàng ngày 4/6/2020 tiếp tục ghi nhận sự sụt giảm so với hôm qua từ 60.000 đến 150.000/lượng. Mức chênh lệch giá mua vào bán ra từ 190.000 đến 370.000/lượng.
Giá vàng trong nước


Giá vàng sáng nay tại SJC giảm 60.000/lượng cả 2 chiều, về mức 48.420.000/lượng mua vào và 48.790.000/lượng bán ra. Mức chênh lệch giá mua vào bán ra là 370.000/lượng
Tại hệ thống Bảo Tín Minh Châu, giá vàng niêm yết ở mức 48.350.000/lượng mua vào và 48.540.000/lượng bán ra, giảm 150.000/lượng cả 2 chiều. Giá chênh lệch mua bán là 190.000/lượng
Giá vàng mua vào - bán ra đang giao dịch tại PNJ lần lượt là 48.400.000 và 48.650.000/lượng, giảm 150.000/lượng cả 2 chiều. Mức chênh mua bán là 250.000/lượng
Tập đoàn Phú Quý hiện niêm yết mua vào ở mức 48.350.000/lượng (giảm 150.000/lượng) và bán ra ở mức 48.600.000/lượng (giảm 100.000/lượng). Mức chênh lệch mua vào bán ra là 250.000/lượng
Giá vàng tại DOJI mua vào - bán ra lần lượt là 48.350.000 và 48.550.000/lượng, giảm 130.000/lượng mua vào và 110.000/lượng bán ra. Mức chênh lệch mua bán là 200.000/lượng

Giá vàng thế giới

Giá vàng thế giới giao ngay ở mức 1.699,39 USD/oz, giảm 29 USD/oz so với phiên trước.
Giá vàng giao kỳ hạn tháng 8/2020 ở mức 1.701,5 USD/ounce, giảm 3,3 USD trong phiên.
Giá vàng bất ngờ giảm mạnh sau khi Mỹ bất ngờ công bố số lượng người thất nghiệp chỉ bằng chưa tới 1/3 so với dự báo và chứng khoán thế giới đồng loạt tăng mạnh."
139,1.0,10:15,48.5,48.84,05/06/2020,Giá vàng ngày 5/6/2020: trong nước và thế giới bật tăng trở lại,"Chấm dứt chuỗi ngày giảm liên tiếp, giá vàng hôm nay ngày 5/6/2020 bật tăng trở lại từ 30.000 đến 100.000/lượng. Mức chênh lệch mua bán từ 190.000 đến 360.000/lượng.
Giá vàng trong nước


Giá vàng niêm yết tại Công ty VBĐQ Sài Gòn mua vào ở mức 48.500.000/lượng (tăng 50.000/lượng so với hôm qua), bán ra ở mức 48.860.000/lượng (tăng 40.000/lượng so với hôm qua). Mức chênh lệch giá mua vào bán ra là 360.000/lượng
Công ty vàng bạc Bảo Tín Minh Châu giao dịch giá vàng ở mức 48.400.000/lượng mua vào và 48.590.000/lượng bán ra, không thay đổi cả 2 chiều so với hôm qua. Mức giá chênh mua bán duy trì ở 190.000/lượng
PNJ đồng loạt tăng 30.000/lượng ở cả 2 chiều lên 48.450.000/lượng mua vào và 48.750.000/lượng bán ra. Mức chênh lệch mua bán là 300.000/lượng
Tại tập đoàn Phú Quý, giá vàng mua vào ở mức 48.430.000/lượng và bán ra ở mức 48.700.000/lượng, tăng 60.000/lượng chiều mua và 50.000/lượng chiều bán. Giá chênh lệch mua vào - bán ra là 270.000/lượng
Giá vàng tại DOJI mua vào bán ra lần lượt là 48.500.000 và 48.700.000/lượng, tăng 100.000/lượng cả 2 chiều. Mức chênh mua bán ở mức 200.000/lượng

Giá vàng thế giới

Giá vàng thế giới giao ngay giao dịch ở mức 1.725 USD/oz, tăng 5 USD so với phiên giao dịch ngày hôm qua.
Giá vàng tăng là do kinh tế Mỹ tiếp tục cho thấy những dấu hiệu tăng trưởng kém. Cụ thể, có 1,9 triệu người nộp đơn xin trợ cấp thất nghiệp lần đầu. Cùng với đó, xuất khẩu giảm khoảng trên 20%."
140,1.0,08:35,48.48,48.82,06/06/2020,,
141,,,,,07/06/2020,,
142,1.0,08:40,48.33,48.68,08/06/2020,Giá vàng ngày 8/6/2020: tăng nhẹ phiên đầu tuần,"Giá vàng mở màn phiên đầu tuần ngày 8/6/2020 có sự tăng nhẹ từ 10.000 đến 50.000 đồng/lượng. Mức chênh lệch từ 180.000 đến 370.000 đồng/lượng.
Giá vàng trong nước


Giá vàng tại Công ty Vàng Bạc Đá Quý Sài Gòn mua vào - bán ra niêm yết ở mức 48.300.000 và 48.670.000 đồng/lượng, tăng 50.000/lượng chiều mua vào và không thay đổi chiều bán ra. Mức chênh lệch mua vào - bán ra là 370.000/lượng
Giá vàng tại hệ thống Bảo Tín Minh Châu đang được giao dịch ở mức 48.340.000/lượng mua vào (tăng 10.000/lượng) và bán ra ở mức 48.540.000/lượng (tăng 10.000/lượng). Giá chênh lệch mua vào bán ra là 200.000/lượng
Tại PNJ, giá vàng không thay đổi so với phiên giao dịch trước ở mức 48.300.000/lượng mua vào và 48.600.000/lượng bán ra. Mức chênh duy trì ở 300.000/lượng.
Giá vàng tại Tập đoàn DOJI hiện giao dịch ở mức 48.360.000/lượng mua vào và 48.540.000/lượng bán ra, tăng 10.000/lượng mua vào và giảm 10.000/lượng bán ra. Mức chênh lệch mua vào bán ra là 180.000/lượng
Giá vàng tại Phú Quý không thay đổi so với hôm qua, hiện đang niêm yết ở mức 48.300.000/lượng mua vào và 48.550.000/lượng bán ra. Giá chênh lệch mua vào bán ra là 250.000/lượng

Giá vàng thế giới

Giá vàng thế giới giao ngay: 1.684 USD/ounce, giảm 1 USD/ounce so với phiên giao dịch hôm qua.
Giá vàng lao dốc do nhà đầu tư chuyển sang các khoản đầu tư như chứng khoán do kỳ vọng vào sự phục hồi của nền kinh tế sau đại dịch."
143,1.0,08:35,48.4,48.75,09/06/2020,Giá vàng ngày 9/6/2020: biến động nhẹ,"Giá vàng ngày 9/6/2020 ghi nhận biến động cả 2 chiều tăng và giảm ở các tổ chức vàng lớn. Mức chênh lệch giá mua vào bán ra từ 120.000 đến 370.000/lượng.
Giá vàng trong nước


Giá vàng tại SJC giảm 30.000/lượng cả 2 chiều về mức 48.320.000/lượng mua vào và 48.690.000/lượng bán ra. Giá chênh lệch mua vào bán ra là 370.000/lượng
Giá vàng tại Bảo Tín Minh Châu giao dịch ở mức 48.340.000/lượng mua vào (tăng 20.000/lượng so với hôm qua) và 48.490.000/lượng bán ra (giảm 30.000/lượng). Mức chênh lệch mua vào bán ra ở mức 150.000/lượng
Tại hệ thống PNJ, giá vàng tăng 50.000/lượng cả 2 chiều lên mức 48.350.000/lượng mua vào và 48.600.000/lượng bán ra, chênh lệch 250.000/lượng mua vào bán ra
Giá vàng tại tập đoàn Phú Quý niêm yết ở mức 48.300.000/lượng mua vào và 48.500.000/lượng bán ra, không thay đổi so với hôm qua. Giá chênh lệch mua vào bán ra duy trì ở mức 200.000/lượng
Tập đoàn DOJI giao dịch giá vàng mua vào bán ra lần lượt là 48.360.000 và 48.480.000/lượng, tăng 60.000/lượng chiều mua vào và giảm 20.000/lượng chiều bán ra. Mức chênh lệch giá mua bán là 120.000/lượng

Giá vàng thế giới

Giá vàng thế giới giao ngay giao dịch ở mức 1.703 USD/ounce, tăng 20 USD so với phiên giao dịch hôm qua. Giá vàng kì hạn tháng 8/2020 đã tăng 15,8 USD/oz lên mức 1.698,60 USD.
Giá vàng thế giới tăng nhờ vào sự kì vọng từ chính sách tiền tệ ổn định từ FED và xu hướng đầu tư vào các tài sản có ""giá hời"" của giới đầu tư, sau khi giá vàng rơi xuống mức thấp nhất trong một tháng gần đây vào cuối tuần trước."
144,1.0,08:35,48.43,48.78,10/06/2020,Giá vàng ngày 10/6/2020: trong nước và thế giới cùng tăng,"Giá vàng ngày 10/6/2020 tiêp tục tăng từ 30.000 đến 150.000 đồng/lượng, Mức chênh lệch giá mua vào bán ra từ 110.000 đến 370.000 đồng/lượng.
Giá vàng trong nước


Giá vàng tại công ty vàng bạc đá quý Sài Gòn tăng 30.000/lượng cả 2 chiều lên mức 48.400.000/lượng mua vào và 48.770.000/lượng bán ra. Mức chênh lệch giá mua vào bán ra là 370.000/lượng
Giá vàng tại Bảo Tín Minh Châu giao dịch ở mức 48.420.000/lượng mua vào (tăng 50.000/lượng so với hôm qua) và 48.600.000/lượng bán ra (tăng 80.000/lượng). Giá chênh lệch mua vào - bán ra là 180.000/lượng
Tại PNJ, giá vàng đang giao dịch ở mức 48.450.000/lượng mua vào và 48.700.000/lượng bán ra, tăng 130.000/lượng mua vào và 150.000/lượng bán ra. Mức chênh mua bán là 250.000/lượng
Giá vàng Phú Quý niêm yết mua vào bán ra lần lượt là 48.420.000/lượng và 48.640.000/lượng, tăng 100.000/lượng mua vào và 120.000/lượng bán ra. Mức chênh lệch là 220.000/lượng (mua vào, bán ra)
Hệ thống DOJI giao dịch giá vàng tại mức 48.460.000/lượng mua vào và 48.570.000/lượng bán ra, tăng 70.000/lượng mua vào và 30.000/lượng bán ra. Mức giá chênh lệch 110.000/lượng

Giá vàng thế giới

Giá vàng thế giới giao ngay tăng lên mức 1.717 USD/oz. Giá vàng giao tháng 8/2020 ở mức 1.723 USD/oz.
Giá vàng tiếp tục bật tăng trở lại trong bối cảnh thị trường chứng khoán Mỹ có những diễn biến trái chiều khi chỉ số Nasdaq Composite tiếp tục đạt mức kỷ lục mới, trong khi S&P 500 và chỉ số công nghiệp Dow Jones đảo chiều giảm."
145,1.0,08:50,48.52,48.87,11/06/2020,"Giá vàng ngày 11/6/2020: tiếp tục ""đi lên""","Giá vàng ngày 11/6/2020 tiếp tục đà tăng từ 40.000 đến 130.000 đồng/lượng. Giá chênh lệch mua vào - bán ra dao động từ 120.000 đến 370.000 đồng/lượng.
Giá vàng trong nước


Giá vàng tại công ty Vàng Bạc Đá Quý Sài Gòn giao dịch ở mức 48.500.000/lượng mua vào và 48.870.000/lượng bán ra, tăng 80.000/lượng cả 2 chiều. Giá chênh lệch là 370.000/lượng
Tại Bảo Tín Minh Châu, giá vàng mua vào - bán ra niêm yết ở mức 48.530.000 và 48.730.000/lượng, tăng 100.000/lượng mua vào và 130.000/lượng bán ra. Mức chênh lệch mua vào bán ra là 200.000/lượng
Giá vàng tại PNJ tăng 100.000/lượng cả 2 chiều lên 48.550.000 mua vào và 48.800.000/lượng bán ra. Chênh lệch giá mua vào - bán ra là 250.000/lượng
Tại tập đoàn Phú Quý, giá vàng mua vào ở mức 48.500.000/lượng (tăng 50.000/lượng) và bán ra ở mức 48.700.000/lượng (tăng 100.000/lượng). Giá chênh lệch là 200.000/lượng
Tại DOJI, giá vàng đang giao dịch ở mức 48.500.000/lượng (mua vào), và 48.620.000/lượng (bán ra), tăng 50.000/lượng mua vào và 40.000/lượng bán ra. Giá chênh lệch là 120.000/lượng

Giá vàng thế giới

Giá vàng thế giới giao ngay đang ở mức 1.733,1 USD/ounce, tăng 18,5 USD/ounce (1,08%) so với chốt phiên trước.
Giá vàng thế giới tăng sau khi thông tin về việc Cục Dự trữ Liên bang Mỹ quyết định giữ nguyên lãi suất."
146,1.0,14:30,48.42,48.77,12/06/2020,Giá vàng ngày 12/6/2020: giảm do áp lực chốt lời?,"Giá vàng hôm nay ngày 12/6/2020 giảm so với hôm qua từ 10.000 đến 50.000 đồng/lượng. Mức chênh lệch giá mua vào - bán ra dao động từ 150.000 đến 370.000 đồng/lượng.
Giá vàng trong nước


Giá vàng tại SJC giảm 30.000/lượng cả 2 chiều, hiện giao dịch ở mức 48.420.000/lượng mua vào và 48.790.000/lượng bán ra. Giá chênh lệch mua vào bán ra là 370.000/lượng
Giá vàng mua vào - bán ra niêm yết tại hệ thống Bảo Tín Minh Châu lần lượt là 48.500.000 và 48.660.000/lượng, giảm 10.000/lượng mua vào, không đổi chiều bán ra. Mức chênh lệch 160.000/lượng mua vào bán ra
Tại hệ thống PNJ, giá vàng ở mức 48.500.000/lượng mua vào và 48.750.000/lượng bán ra, giảm 50.000/lượng cả 2 chiều. Mức giá chênh lệch mua vào bán ra là 250.000/lượng
Tập đoàn Phú Quý giao dịch vàng ở mức 48.470.000/lượng mua vào, và 48.670.000/lượng bán ra, giảm 30.000/lượng cả 2 chiều. Giá chênh lệch mua vào bán ra ở mức 200.000/lượng
Giá vàng mua vào ở DOJI không đổi chiều mua vào so với hôm qua ở mức 48.500.000/lượng, trong khi đó giá bán ra giảm 50.000/lượng về mức 48.650.000/lượng. Chênh lệch giá mua vào - bán ra là 150.000/lượng

Giá vàng thế giới

Giá vàng thế giới giao ngay giao dịch ở 1.743 USD/ounce. Giá vàng giao tháng 8/2020 ở mức 1.748 USD/ounce.
Kim loại quý này tăng mạnh sau khi Cục dự trữ liên bang Mỹ (Fed) đưa ra một tín hiệu u ám về triển vọng của nền kinh tế Mỹ, với GDP năm 2020 giảm 6,5% và tỷ lệ thất nghiệp trên 9% vào cuối năm."
147,1.0,08:30,48.42,48.77,13/06/2020,Giá vàng ngày 13/6/2020: thị trường ảm đạm,"Giá vàng ngày 13/6/2020 tiếp tục giảm từ 10.000 đến 50.000 đồng lượng. Chênh lệch mua vào - bán gia giao động từ 150.000 đến 370.000 đồng/lượng.
Giá vàng trong nước


Giá vàng tại công ty Vàng Bạc Đá Quý Sài Gòn giảm 30.000/lượng cả 2 chiều về mức 48.420.000/lượng mua vào và 48.790.000/lượng bán ra. Mức giá chênh lệch mua vào bán ra tiếp tục duy trì ở 370.000/lượng
Tại hệ thống Bảo Tín Minh Châu, giá vàng đang được giao dịch quanh mức 48.510.000/lượng mua vào và 48.660.000/lượng bán ra, tăng 10.000/lượng mua vào và giảm 10.000/lượng bán ra. Theo đó, giá chênh lệch mua bán còn 150.000/lượng
Tại PNJ, giá vàng giữ nguyên so với hôm qua ở mức 48.500.000/lượng mua vào và 48.750.000/lượng bán ra. Mức chênh lệch giá mua bán giữ nguyên 250.000/lượng
Giá vàng mua vào - bán ra niêm yết tại Phú Quý lần lượt là 48.500.000 và 48.700.000/lượng, tăng 30.000/lượng cả 2 chiều. Mức chênh lệch là 200.000/lượng mua vào bán ra
Tập đoàn DOJI giao dịch vàng ở mức 48.500.000/lượng mua vào (không thay đổi so với hôm qua) và 48.650.000/lượng bán ra (giảm 50.000/lượng)< Theo đó, khoảng chênh lệch giá mua bán đã về mốc 150.000/lượng

Giá vàng thế giới

Giá vàng giao ngay tăng nhẹ so với thời điểm hôm qua, giao dịch ở mức  1.730,5 USD/ounce.
Những lo ngại về tác động đối với nền kinh tế khi số ca nhiễm Covid-19 tiếp tục tăng vẫn là yếu tố hỗ trợ cho giá vàng."
148,,,,,14/06/2020,,
